location_id,name,region,type,cold_chain,healthcare_licensed
LOC-01,North DC 01,North,DC,Y,N
LOC-02,South DC 02,South,DC,Y,Y
LOC-03,East DC 03,East,DC,Y,N
LOC-04,West DC 04,West,DC,Y,N
LOC-05,North DC 05,North,DC,N,N
LOC-06,South DC 06,South,DC,Y,Y
LOC-07,East DC 07,East,DC,Y,Y
LOC-08,West DC 08,West,DC,Y,Y
LOC-09,North Store 09,North,STORE,N,Y
LOC-10,South Store 10,South,STORE,Y,Y
LOC-11,East Store 11,East,STORE,N,N
LOC-12,West Store 12,West,STORE,Y,Y
LOC-13,North Store 13,North,STORE,Y,Y
LOC-14,South Store 14,South,STORE,Y,N
LOC-15,East Store 15,East,STORE,Y,N
LOC-16,West Store 16,West,STORE,Y,N
LOC-17,North Store 17,North,STORE,Y,N
LOC-18,South Store 18,South,STORE,Y,Y
LOC-19,East Store 19,East,STORE,N,Y
LOC-20,West Store 20,West,STORE,Y,Y
LOC-21,North Store 21,North,STORE,N,Y
LOC-22,South Store 22,South,STORE,Y,Y
LOC-23,East Store 23,East,STORE,N,Y
LOC-24,West Store 24,West,STORE,Y,Y
LOC-25,North Store 25,North,STORE,Y,Y
LOC-26,South Store 26,South,STORE,N,N
LOC-27,East Store 27,East,STORE,Y,N
LOC-28,West Store 28,West,STORE,Y,N
LOC-29,North Store 29,North,STORE,N,Y
LOC-30,South Store 30,South,STORE,N,N
LOC-31,East Store 31,East,STORE,Y,N
LOC-32,West Store 32,West,STORE,Y,Y
LOC-33,North Store 33,North,STORE,N,N
LOC-34,South Store 34,South,STORE,Y,Y
LOC-35,East Store 35,East,STORE,N,Y
LOC-36,West Store 36,West,STORE,Y,Y
LOC-37,North Store 37,North,STORE,N,Y
LOC-38,South Store 38,South,STORE,Y,Y
