sku,description,product_class,shelf_life_days,unit_cost_usd,supplier_id,supplier_accepts_returns
SKU-0001,Salted snacks 250 g,FOOD_AMBIENT,375,11.1,SUP-48,N
SKU-0002,Digital thermometer strips pack of 10,HEALTHCARE,436,13.22,SUP-22,N
SKU-0003,Spice mix family pack,FOOD_AMBIENT,453,9.94,SUP-47,Y
SKU-0004,Cold cuts 1 l,FOOD_CHILLED,119,14.99,SUP-56,Y
SKU-0005,Iron supplement 200 ml,HEALTHCARE,860,15.77,SUP-49,Y
SKU-0006,Oats 1 kg,FOOD_AMBIENT,509,10.5,SUP-37,Y
SKU-0007,Salad bowl 4 pack,FOOD_CHILLED,144,7.05,SUP-48,Y
SKU-0008,Salted snacks 1 kg,FOOD_AMBIENT,575,11.87,SUP-32,N
SKU-0009,Paneer 4 pack,FOOD_CHILLED,109,14.53,SUP-56,Y
SKU-0010,Digital thermometer strips pack of 10,HEALTHCARE,815,6.69,SUP-01,N
SKU-0011,Antiseptic solution 30 ct,HEALTHCARE,1035,38.89,SUP-31,N
SKU-0012,Butter 1 l,FOOD_CHILLED,88,9.91,SUP-42,Y
SKU-0013,Fruit juice 1 l,FOOD_CHILLED,131,13.1,SUP-21,N
SKU-0014,Sugar 1 kg,FOOD_AMBIENT,216,7.6,SUP-41,N
SKU-0015,Canned tomatoes twin pack,FOOD_AMBIENT,412,9.09,SUP-07,N
SKU-0016,Eye drops 100 ml,HEALTHCARE,467,19.42,SUP-58,Y
SKU-0017,Peanut butter family pack,FOOD_AMBIENT,237,3.87,SUP-28,Y
SKU-0018,Iron supplement 60 ct,HEALTHCARE,786,23.94,SUP-11,Y
SKU-0019,Cold cuts 500 ml,FOOD_CHILLED,93,9.87,SUP-32,N
SKU-0020,Tea family pack,FOOD_AMBIENT,417,5.8,SUP-30,Y
SKU-0021,Basmati rice 250 g,FOOD_AMBIENT,656,10.86,SUP-11,Y
SKU-0022,Fruit juice 1 l,FOOD_CHILLED,120,5.54,SUP-45,Y
SKU-0023,Canned tomatoes twin pack,FOOD_AMBIENT,383,11.99,SUP-07,Y
SKU-0024,Calcium tablets 100 ml,HEALTHCARE,732,24.27,SUP-02,N
SKU-0025,Pain relief gel 200 ml,HEALTHCARE,770,13.16,SUP-56,N
SKU-0026,Wheat flour family pack,FOOD_AMBIENT,688,10.08,SUP-50,N
SKU-0027,Cold cuts 500 ml,FOOD_CHILLED,147,6.26,SUP-40,Y
SKU-0028,Tea 500 g,FOOD_AMBIENT,279,10.89,SUP-20,N
SKU-0029,Yoghurt 500 ml,FOOD_CHILLED,119,6.43,SUP-06,N
SKU-0030,Fruit juice 500 ml,FOOD_CHILLED,140,7.11,SUP-09,N
SKU-0031,Fruit jam 1 kg,FOOD_AMBIENT,693,11.01,SUP-17,N
SKU-0032,Ready meal 4 pack,FOOD_CHILLED,148,5.48,SUP-52,Y
SKU-0033,Lentils 1 kg,FOOD_AMBIENT,324,9.17,SUP-56,N
SKU-0034,Salted snacks twin pack,FOOD_AMBIENT,554,1.54,SUP-01,Y
SKU-0035,Fresh milk 4 pack,FOOD_CHILLED,103,6.48,SUP-38,Y
SKU-0036,Cream 500 ml,FOOD_CHILLED,92,2.96,SUP-31,Y
SKU-0037,Dessert cup 6 pack,FOOD_CHILLED,116,5.93,SUP-15,N
SKU-0038,Oats 500 g,FOOD_AMBIENT,489,7.97,SUP-09,Y
SKU-0039,Yoghurt 250 g,FOOD_CHILLED,83,14.95,SUP-07,Y
SKU-0040,Iron supplement 100 ml,HEALTHCARE,503,17.38,SUP-43,N
SKU-0041,Egg tray 500 ml,FOOD_CHILLED,114,7.16,SUP-57,Y
SKU-0042,Cooking oil family pack,FOOD_AMBIENT,681,7.58,SUP-03,N
SKU-0043,Biscuits 1 kg,FOOD_AMBIENT,634,5.61,SUP-55,Y
SKU-0044,Pain relief gel 100 ml,HEALTHCARE,741,23.15,SUP-04,Y
SKU-0045,Antacid syrup pack of 10,HEALTHCARE,490,38.11,SUP-06,N
SKU-0046,Soup mix family pack,FOOD_AMBIENT,201,1.08,SUP-16,N
SKU-0047,Chocolate bar 250 g,FOOD_AMBIENT,390,1.29,SUP-14,Y
SKU-0048,Pasta 250 g,FOOD_AMBIENT,516,9.41,SUP-01,Y
SKU-0049,Paracetamol pack 60 ct,HEALTHCARE,498,22.99,SUP-08,N
SKU-0050,Vitamin C tablets 60 ct,HEALTHCARE,499,3.55,SUP-38,Y
SKU-0051,Paracetamol pack pack of 10,HEALTHCARE,636,4.94,SUP-34,Y
SKU-0052,Lentils family pack,FOOD_AMBIENT,667,5.66,SUP-33,Y
SKU-0053,Oats 250 g,FOOD_AMBIENT,695,3.05,SUP-03,N
SKU-0054,Hand sanitiser pack of 10,HEALTHCARE,1039,22.29,SUP-42,N
SKU-0055,Yoghurt 1 l,FOOD_CHILLED,106,12.94,SUP-44,Y
SKU-0056,Oats family pack,FOOD_AMBIENT,255,10.84,SUP-39,Y
SKU-0057,Tea 250 g,FOOD_AMBIENT,461,7.68,SUP-36,N
SKU-0058,Fresh pasta 1 l,FOOD_CHILLED,121,8.66,SUP-33,N
SKU-0059,Fresh milk 6 pack,FOOD_CHILLED,146,10.97,SUP-47,N
SKU-0060,Fresh pasta 1 l,FOOD_CHILLED,102,13.49,SUP-22,N
SKU-0061,Salted snacks family pack,FOOD_AMBIENT,605,8.89,SUP-28,Y
SKU-0062,Cough syrup pack of 10,HEALTHCARE,748,38.28,SUP-05,Y
SKU-0063,Lentils family pack,FOOD_AMBIENT,275,5.47,SUP-52,Y
SKU-0064,Wheat flour twin pack,FOOD_AMBIENT,517,8.21,SUP-23,N
SKU-0065,Cooking sauce 250 g,FOOD_AMBIENT,232,11.64,SUP-20,Y
SKU-0066,Chocolate bar twin pack,FOOD_AMBIENT,699,2.95,SUP-15,N
SKU-0067,Fruit jam family pack,FOOD_AMBIENT,556,1.82,SUP-37,Y
SKU-0068,Fresh pasta 6 pack,FOOD_CHILLED,116,14.66,SUP-40,N
SKU-0069,Cornflakes family pack,FOOD_AMBIENT,206,7.5,SUP-02,Y
SKU-0070,Egg tray 4 pack,FOOD_CHILLED,142,5.67,SUP-23,Y
SKU-0071,Tea 500 g,FOOD_AMBIENT,590,1.3,SUP-06,N
SKU-0072,Biscuits family pack,FOOD_AMBIENT,565,5.33,SUP-11,Y
SKU-0073,Peanut butter 1 kg,FOOD_AMBIENT,266,10.66,SUP-11,N
SKU-0074,Wheat flour twin pack,FOOD_AMBIENT,263,3.63,SUP-32,N
SKU-0075,Cooking sauce 250 g,FOOD_AMBIENT,459,2.98,SUP-08,Y
SKU-0076,Cooking oil 250 g,FOOD_AMBIENT,470,8.3,SUP-32,Y
SKU-0077,Canned tomatoes 250 g,FOOD_AMBIENT,226,3.04,SUP-04,Y
SKU-0078,Butter 4 pack,FOOD_CHILLED,72,11.86,SUP-19,Y
SKU-0079,Yoghurt 500 ml,FOOD_CHILLED,108,11.58,SUP-09,Y
SKU-0080,Pasta family pack,FOOD_AMBIENT,692,6.93,SUP-05,Y
SKU-0081,Wheat flour 500 g,FOOD_AMBIENT,626,0.72,SUP-56,Y
SKU-0082,Cooking sauce twin pack,FOOD_AMBIENT,594,8.66,SUP-19,Y
SKU-0083,Yoghurt 6 pack,FOOD_CHILLED,86,3.82,SUP-30,N
