batch_id,sku,location_id,product_class,trust_flag,units_on_hand,unit_cost_usd,days_to_expiry,in_scope,days_weight,unsold_share,batch_value,score,band
LF-70001,SKU-1091,LOC-38,FOOD_AMBIENT,OK,1500,8.0,6,Y,1.0,0.98,12000.0,11760.0,P1
LF-10114,SKU-0258,LOC-06,HEALTHCARE,OK,175,23.68,-3,Y,1.0,1.0,4144.0,4144.0,P2
LF-70010,SKU-1100,LOC-18,FOOD_AMBIENT,STALE_COUNT,1000,5.0,10,Y,0.8,0.9667,5000.0,3866.67,P2
LF-11197,SKU-0384,LOC-38,HEALTHCARE,OK,100,24.7,-10,Y,1.0,1.0,2470.0,2470.0,P2
LF-70009,SKU-1099,LOC-13,HEALTHCARE,OK,200,12.0,-3,Y,1.0,1.0,2400.0,2400.0,P2
LF-10795,SKU-0920,LOC-22,HEALTHCARE,OK,55,36.42,2,Y,1.0,0.9818,2003.1,1966.68,P2
LF-11908,SKU-0403,LOC-07,FOOD_CHILLED,OK,283,14.09,29,Y,0.5,0.8395,3987.47,1673.66,P2
LF-11116,SKU-0157,LOC-24,HEALTHCARE,OK,99,25.64,11,Y,0.8,0.7963,2538.36,1617.03,P2
LF-10550,SKU-0670,LOC-38,HEALTHCARE,OK,57,39.7,11,Y,0.8,0.852,2262.9,1542.48,P2
LF-10110,SKU-0655,LOC-18,FOOD_CHILLED,OK,110,12.71,5,Y,1.0,0.953,1398.1,1332.43,P2
LF-10424,SKU-0802,LOC-35,HEALTHCARE,OK,86,15.44,-4,Y,1.0,1.0,1327.84,1327.84,P2
LF-10699,SKU-0303,LOC-35,HEALTHCARE,OK,39,34.14,2,Y,1.0,0.988,1331.46,1315.53,P2
LF-11869,SKU-0548,LOC-32,HEALTHCARE,OK,32,39.32,5,Y,1.0,0.9479,1258.24,1192.71,P2
LF-70003,SKU-1093,LOC-20,HEALTHCARE,OK,300,5.0,12,Y,0.8,0.92,1500.0,1104.0,P2
LF-11451,SKU-0819,LOC-25,FOOD_AMBIENT,OK,89,11.77,3,Y,1.0,0.982,1047.53,1028.7,P2
LF-70006,SKU-1096,LOC-20,FOOD_CHILLED,OK,300,6.0,24,Y,0.5,0.92,1800.0,828.0,P3
LF-11610,SKU-0727,LOC-34,HEALTHCARE,OK,38,22.39,4,Y,1.0,0.9579,850.82,815.0,P3
LF-10908,SKU-0741,LOC-03,FOOD_CHILLED,OK,65,12.3,3,Y,1.0,0.98,799.5,783.51,P3
LF-10334,SKU-0218,LOC-18,HEALTHCARE,OK,38,24.01,12,Y,0.8,0.9158,912.38,668.44,P3
LF-10666,SKU-0202,LOC-24,FOOD_CHILLED,OK,60,11.24,6,Y,1.0,0.9433,674.4,636.18,P3
LF-10220,SKU-0298,LOC-38,FOOD_CHILLED,OK,45,13.72,1,Y,1.0,0.98,617.4,605.05,P3
LF-11289,SKU-0021,LOC-34,FOOD_AMBIENT,OK,134,10.86,17,Y,0.5,0.8055,1455.24,586.08,P3
LF-11657,SKU-0798,LOC-12,FOOD_AMBIENT,OK,87,7.79,4,Y,1.0,0.8544,677.73,579.06,P3
LF-11444,SKU-0927,LOC-38,FOOD_CHILLED,OK,88,5.79,1,Y,1.0,0.9947,509.52,506.82,P3
LF-10629,SKU-0928,LOC-12,HEALTHCARE,OK,26,27.51,13,Y,0.8,0.8833,715.26,505.45,P3
LF-70005,SKU-1095,LOC-30,FOOD_AMBIENT,OK,200,6.0,18,Y,0.5,0.73,1200.0,438.0,P3
LF-10587,SKU-0055,LOC-22,FOOD_CHILLED,OK,44,12.94,11,Y,0.8,0.925,569.36,421.33,P3
LF-10680,SKU-1077,LOC-03,FOOD_CHILLED,OK,50,11.57,14,Y,0.8,0.9067,578.5,419.61,P3
LF-11280,SKU-0651,LOC-32,HEALTHCARE,OK,91,4.6,1,Y,1.0,0.9901,418.6,414.46,P3
LF-10651,SKU-0671,LOC-31,FOOD_CHILLED,OK,128,9.03,21,Y,0.5,0.6992,1155.84,404.09,P3
LF-11321,SKU-0243,LOC-33,FOOD_AMBIENT,OK,47,9.81,6,Y,1.0,0.8553,461.07,394.36,P3
LF-11421,SKU-0156,LOC-15,FOOD_CHILLED,OK,57,8.98,9,Y,0.8,0.9526,511.86,390.09,P3
LF-10588,SKU-0790,LOC-21,FOOD_AMBIENT,OK,35,11.07,-5,Y,1.0,1.0,387.45,387.45,P3
LF-10171,SKU-0751,LOC-14,FOOD_CHILLED,OK,40,14.66,12,Y,0.8,0.81,586.4,379.99,P3
LF-10354,SKU-0498,LOC-03,FOOD_AMBIENT,OK,89,10.8,25,Y,0.5,0.7285,961.2,350.1,P3
LF-10729,SKU-0664,LOC-03,FOOD_CHILLED,OK,28,12.36,-4,Y,1.0,1.0,346.08,346.08,P3
LF-10145,SKU-0201,LOC-13,FOOD_CHILLED,OK,32,10.82,2,Y,1.0,0.9667,346.24,334.7,P3
LF-11881,SKU-0793,LOC-02,FOOD_CHILLED,OK,55,9.2,12,Y,0.8,0.8182,506.0,331.2,P3
LF-10805,SKU-0592,LOC-17,FOOD_CHILLED,OK,87,4.02,5,Y,1.0,0.9368,349.74,327.63,P3
LF-11215,SKU-0233,LOC-36,FOOD_CHILLED,OK,30,12.39,5,Y,1.0,0.8722,371.7,324.21,P3
LF-11098,SKU-0931,LOC-36,FOOD_AMBIENT,OK,65,11.71,28,Y,0.5,0.8421,761.15,320.46,P3
LF-11424,SKU-0254,LOC-36,FOOD_CHILLED,OK,69,7.07,14,Y,0.8,0.8106,487.83,316.36,P3
LF-10208,SKU-0298,LOC-31,FOOD_CHILLED,OK,24,13.72,5,Y,1.0,0.9306,329.28,306.41,P3
LF-11236,SKU-0313,LOC-30,FOOD_AMBIENT,OK,56,9.59,10,Y,0.8,0.7083,537.04,304.32,P3
LF-10626,SKU-0506,LOC-24,HEALTHCARE,OK,14,29.2,10,Y,0.8,0.9286,408.8,303.68,P3
LF-11761,SKU-1012,LOC-36,HEALTHCARE,OK,53,11.0,13,Y,0.8,0.6484,583.0,302.43,P3
LF-11783,SKU-0467,LOC-13,FOOD_AMBIENT,OK,74,10.13,17,Y,0.5,0.8009,749.62,300.19,P3
LF-10050,SKU-0513,LOC-27,FOOD_CHILLED,OK,23,13.2,2,Y,1.0,0.9855,303.6,299.2,P3
