batch_id,action,clause_ids,status,hold_reason,approver
LF-70001,MARKDOWN,REF-ACT-03;REF-ACT-06;REF-APR-02,HOLD,"Batch value $12,000 is above $2,000",Finance Director
LF-70002,MARKDOWN,REF-ACT-03;REF-ACT-06;REF-APR-05,READY,,
LF-70003,,REF-HC-04;REF-APR-01,HOLD,"HEALTHCARE (sku_master.csv; row label says FOOD) with 12 days remaining, cannot transfer (fewer than 21 days) or return (supplier_accepts_returns is N); escalated per REF-HC-04, no disposition proposed",QA Lead
LF-70004,,REF-APR-04,HOLD,"data check flag not OK (MISSING_EXPIRY)",Inventory Control
LF-70005,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-70006,TRANSFER,REF-ACT-02;REF-CC-01;REF-APR-05,READY,,
LF-70007,MONITOR,REF-ACT-01,MONITOR,,
LF-70008,MONITOR,REF-SCORE-01;REF-ACT-01,MONITOR,,
LF-70009,DISPOSE,REF-HC-03;REF-ACT-05;REF-APR-01;REF-APR-02;REF-APR-03,HOLD,"HEALTHCARE, expired (3 days past expiry), batch value $2,400 (above $2,000); disposal fee not in docs/","QA Lead; Regional Manager; Finance"
LF-70010,,REF-APR-04,HOLD,"data check flag not OK (STALE_COUNT)",Inventory Control
LF-10157,RETURN TO SUPPLIER,REF-ACT-04;REF-APR-05,READY,,
LF-11661,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10155,TRANSFER,REF-ACT-02;REF-CC-01;REF-APR-05,READY,,
LF-11810,MONITOR,REF-ACT-01,MONITOR,"unsold share 0.00 is below 0.10",
LF-11321,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11236,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10813,TRANSFER,REF-ACT-02;REF-CC-01;REF-APR-05,READY,,
LF-11093,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11887,DISPOSE,REF-ACT-05;REF-APR-03,HOLD,"action is DISPOSE (expired, 9 days past expiry)",Finance
LF-10105,MONITOR,REF-ACT-01,MONITOR,"no other action eligible under REF-ACT-02 to REF-ACT-05 (43 days remaining: too far out for markdown or donation, supplier does not accept returns, no transfer target)",
LF-10729,DISPOSE,REF-ACT-05;REF-APR-03,HOLD,"action is DISPOSE (expired, 4 days past expiry)",Finance
LF-11192,RETURN TO SUPPLIER,REF-ACT-04;REF-APR-05,READY,,
LF-10033,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10629,,REF-HC-04;REF-APR-01,HOLD,"HEALTHCARE with 13 days remaining, cannot transfer (no target with higher sales) or return (fewer than 30 days); escalated per REF-HC-04, no disposition proposed",QA Lead
LF-11096,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10469,RETURN TO SUPPLIER,REF-ACT-04;REF-APR-05,READY,,
LF-11643,TRANSFER,REF-ACT-02;REF-CC-01;REF-APR-05,READY,,
LF-11424,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10621,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10937,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10749,TRANSFER,REF-ACT-02;REF-APR-05,READY,,
LF-10862,TRANSFER,REF-ACT-02;REF-CC-01;REF-APR-05,READY,,
LF-10145,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11859,TRANSFER,REF-ACT-02;REF-APR-05,READY,,
LF-10425,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10598,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10029,TRANSFER,REF-ACT-02;REF-APR-05,READY,,
LF-10766,RETURN TO SUPPLIER,REF-ACT-04;REF-APR-05,READY,,
LF-11881,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10973,MONITOR,REF-ACT-01,MONITOR,"unsold share 0.0667 is below 0.10",
LF-11619,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11440,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11421,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10888,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10651,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10610,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11286,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11017,MONITOR,REF-ACT-01,MONITOR,"no other action eligible under REF-ACT-02 to REF-ACT-05 (43 days remaining: too far out for markdown, supplier does not accept returns, no transfer target)",
LF-11595,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10543,TRANSFER,REF-ACT-02;REF-APR-05,READY,,
LF-10183,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10464,TRANSFER,REF-ACT-02;REF-CC-01;REF-APR-05,READY,,
LF-11206,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-10724,RETURN TO SUPPLIER,REF-ACT-04;REF-APR-05,READY,,
LF-11722,MONITOR,REF-ACT-01,MONITOR,"unsold share 0.00 is below 0.10",
LF-10461,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11163,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
LF-11046,RETURN TO SUPPLIER,REF-ACT-04;REF-APR-05,READY,,
LF-10548,TRANSFER,REF-ACT-02;REF-APR-05,READY,,
LF-10273,MARKDOWN,REF-ACT-03;REF-APR-05,READY,,
